State,County,Population,Deaths,Premature_Death_Rate,Self_Reported_Poor_health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Low_Birthweight_percentage,Percentage_Smokers,Percentage_Adults_with_Obesity,Food Environment Index,Percentage_Physically_Inactive,Percentage__With Access to Exercise Opportunities,Percentage_Excessive Drinking,Percentage_Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,Percentage_Uninsured,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,Percentage_With Annual Mammogram,Percentage_Vaccinated,High School Graduation Rate,Percentage_Some College,Percentage_Unemployed,Percentage_Children in Poverty,Percentage_Single-Parent Households,Social Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,Presence of Water Violation,Percentage_ Severe Housing Problems,Percentage_ Drive Alone to Work,Percentage_Long Commute - Drives Alone,CalField_1,CalField_2,CalField_3,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,Percentage_Frequent Physical Distress,Percentage_Frequent Mental Distress,Percentage_Adults with Diabetes,HIV Prevalence Rate,Percentage_Food Insecure,Percentage_ Limited Access to Healthy Foods,Drug Overdose Mortality Rate,Motor Vehicle Mortality Rate,Percentage_Insufficient Sleep,Other Primary Care Provider Rate,Percentage_Disconnected Youth,Average Grade Performance,Median Household Income,Percentage_ Enrolled in Free or Reduced Lunch,Homicide Rate,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,Average Traffic Volume per Meter of Major Roadways,Percentage_Homeowners,Percentage_Housing Cost Burden,Percentage_less than 18 years of age,Percentage_ 65 and over,Percentage_ Not Proficient in English,Percentage_Female,Percentage_Rural,Health_Outcomes_Z-Score,Health_Outcomes_Rank,Health_Factor_Z-Score,Health_Factor_Rank,Length of Life_Z-Score,Length of Life_Rank,Quality of Life_Z-Score,Quality of Life_Rank,Health Behaviors_Z-Score,Health Behaviors_Rank,Clinical Care_Z-Score,Clinical Care_Rank,Social & Economic Factors_Z-Score,Social & Economic Factors_Rank,Physical Environment_Z-Score,Physical Environment_Rank
Michigan,Alcona,10364,224,9814,14.7496921,4.004213006,4.39002871,7.762557078,16.05008806,34.9,8,22,72,15.61886175,60,144.9,22.56699577,8.809160305,1725,10362,1727,2588,45,28,94.64285714,54.73393227,6.579634465,31.6,33,12.55917303,120,102.1824632,7.5,No,11.65829146,81,35.7,1725:01:00,10362:1,1727:01:00,76.84512207,427.0644104,NA,NA,11.97694839,13.59979501,11.3,NA,12.6,4.264405957,NA,NA,31.33932406,57.90388,NA,2.575978578,39862,69.00826446,NA,40.02576782,21.20768104,12.14323674,87.81948882,10.73232323,12.7581548,35.8328508,0.199084213,49.5850222,98.92158655,0.716627533,68,0.106582437,48,0.673646291,72,0.042981242,49,-0.121326598,19,0.07305467,61,0.203273433,66,-0.048419068,21
Michigan,Allegan,115250,1371,6181,14.21007546,3.89793332,4.242456848,6.552886641,16.27392233,33.5,8.9,20,68,19.11305652,28.76712329,358.1,21.3864591,5.458730681,4313,3259,1139,3553,43,43,87.04930096,57.59410081,3.266440656,13.6,24,10.39099333,246,63.34437533,11,Yes,12.10357525,86,33.9,4313:01:00,3259:01:00,1139:01:00,79.13335459,317.957333,41.51980141,4.803675856,11.47178485,12.63643092,8.8,101.9,9.1,0.831520315,12.02329083,14.33264703,32.26522514,33.24043,7.518796993,3.175243659,62247,44.60176053,1.744843986,14.19249887,9.69203557,132.9566012,82.31162791,8.909064776,24.1819871,16.54691589,0.739171462,50.04133746,64.46754273,-0.741047521,17,-0.330031736,14,-0.445455267,18,-0.295592254,19,-0.131987959,16,-0.022550362,32,-0.262407754,13,0.086914338,79
Michigan,Alpena,28612,443,7179,14.69437719,4.095082723,4.294293152,6.984298863,17.35694339,33.6,8.1,25,75,19.11571819,33.33333333,228.4,22.61624751,6.152068408,1355,1091,338,3818,44,45,79.88505747,67.1641791,5.082101196,22.6,35,14.05382615,304,83.03271768,7.5,No,12.07576953,85,12.9,1355:01:00,1091:01:00,338:01:00,77.99279088,367.941883,NA,NA,12.03219367,13.37768764,13.7,80.4,12.8,2.287227147,17.5385263,7.438926414,35.23521024,151.622,5.934718101,2.806013942,42792,54.70618825,NA,19.78131118,10.46630895,103.9384246,77.5261461,10.24973562,18.48025388,23.43794076,0.286364638,50.71932299,51.8278262,-0.24111657,27,-0.075209505,32,-0.137985057,33,-0.103131513,33,-0.035498159,31,-0.084598504,19,0.090035258,55,-0.0451481,25
Michigan,Antrim,23177,316,6080,14.00284834,3.984274936,4.322454297,6.142322097,16.38555404,31.9,8.5,29,67,18.10287745,29.41176471,227.5,20.50691244,8.12595825,1664,2921,2921,4161,41,43,92.65306122,58.52898898,5.61764415,18.7,30,10.30396703,118,77.43800657,7.4,No,13.82113821,76,35,1664:01:00,2921:01:00,2921:01:00,80.48517433,293.0211493,NA,NA,11.69110144,13.17045362,7.4,69.4,11.6,0.059331966,NA,17.79162935,31.24400392,47.07896,8.190091001,2.911760653,56456,53.43605547,NA,19.84488957,16.34802361,48.49883717,86.07853136,11.48512755,18.14252087,27.14316285,0.545388984,50.28033383,100,-0.791728988,16,-0.144502009,27,-0.476343867,17,-0.315385122,16,-0.12427525,17,0.091673851,67,-0.055825656,33,-0.056074955,16
Michigan,Arenac,15165,276,8499,15.81122766,4.301253784,4.441567001,7.709750567,18.4857836,35.6,6.9,31,70,17.71740749,21.42857143,226,27.07516922,8.10255494,3009,2149,501,5876,50,39,90.13157895,50.28380634,7.114161366,24.1,35,7.976071785,256,89.68373295,8.3,No,11.81887951,84,36.7,3009:01:00,2149:01:00,501:01:00,76.70458487,409.41279,NA,NA,12.862456,14.01338374,16.4,NA,14.3,12.23759315,NA,17.79259454,34.34410751,126.32139,13.47962382,NA,42540,59.81490502,NA,21.2634426,21.10205481,73.37881716,82.49551167,9.973590182,18.16368593,24.91190745,0.297063903,49.57782062,100,0.487918465,62,0.46752556,75,0.268596266,62,0.219322199,62,0.101550468,62,0.124363457,73,0.261354693,71,-0.019743059,34
Michigan,Baraga,8507,153,10471,16.12414483,4.210718716,4.408065341,6.822612086,19.33834262,35.9,7.4,24,26,19.25149302,75,154,23.3672858,8.009751001,938,1387,756,1394,43,28,86.66666667,39.31795386,6.108312343,21,37,9.477550053,333,87.07316499,6,No,13.68243243,83,19.4,938:01:00,1387:01:00,756:01:00,75.41337909,452.7612802,NA,NA,12.64140724,13.66427668,18.5,107.3,14.9,5.426598185,NA,NA,38.22960308,108.17308,NA,NA,43435,60.57312253,NA,21.70010626,NA,43.6400445,80.96179183,13.63166954,17.51201923,22.11538462,0.098461539,44.87980769,100,0.914623082,72,0.379294385,70,0.876243285,80,0.038379798,45,0.215176652,79,-0.073373277,22,0.288602959,76,-0.051111949,19
Michigan,Barry,60057,762,6022,12.85412236,3.725795749,4.228558758,6.507243044,15.99710256,37.2,8.8,27,57,20.47006989,14.28571429,221.2,18.42936663,5.367312073,3029,3597,927,4701,46,45,86.96275072,57.30337079,3.407655382,10.8,26,10.56349652,171,66.65777896,11.2,Yes,11.4391951,85,46.5,3029:01:00,3597:01:00,927:01:00,79.45916674,320.3234789,27.98089837,NA,10.77475199,12.51383995,17.1,43.6,9.5,1.016486553,12.67601753,16.741325,37.56005046,70.31084,8.564890487,3.288544217,64121,42.27089337,2.630779644,17.57123115,12.664978,7.709837652,82.31543624,8.811448831,22.09722518,18.40181827,0.334707395,49.66397959,77.12808206,-0.941208291,11,-0.308742306,15,-0.494305877,15,-0.446902414,12,-0.090929325,24,-0.009914986,37,-0.296409271,10,0.088511276,80
Michigan,Bay,104786,1579,7743,14.50455264,4.046153884,4.159750802,7.291231005,17.79181258,35.9,7.7,26,86,19.78233032,35.29411765,391.4,21.46294514,6.104808863,2424,1464,401,6890,46,49,87.92599805,66.29673134,4.786304417,24.8,40,10.26487207,328,74.70266624,9.5,No,12.52430516,86,24,2424:01:00,1464:01:00,401:01:00,77.49196102,387.1384399,43.12354312,4.748982361,11.8111692,13.13142939,8.9,92.7,12.4,7.743706309,25.88612025,10.42634263,36.19722609,76.98007,9.275783358,NA,50576,53.19559623,2.301919801,18.05557455,11.81521762,291.1147982,77.69930054,10.867983,20.28809792,20.39490777,0.291150043,50.85977118,30.31149382,-0.097798945,36,0.183388766,55,0.035946183,48,-0.133745127,30,0.062628047,52,0.06846068,59,0.048228513,47,0.004071526,46
Michigan,Benzie,17552,227,6655,13.03789421,3.71127111,4.133609648,6.128133705,15.68194619,36.5,NA,30,89,19.37272194,33.33333333,369.9,21.59161012,7.398549607,1953,2219,772,3799,45,52,83.13253012,68.7846109,5.50625711,15.7,28,13.0882604,126,72.83155427,7.5,No,13.45885635,79,35.1,1953:01:00,2219:01:00,772:01:00,80.46584073,295.7974329,NA,NA,10.87111222,12.60360166,13.6,32.7,10.5,NA,20.79473704,17.10557397,32.0102583,95.75846,NA,NA,51905,56.18672666,NA,NA,NA,42.42668712,89.6628546,11.02134146,18.2448037,26.1307948,0.27515253,50.35205317,100,-0.845805277,13,-0.205567527,20,-0.299363925,26,-0.546441352,8,-0.040831618,30,-0.007236479,38,-0.11476354,27,-0.04273589,26
Michigan,Berrien,154807,2254,8081,16.08037215,4.287990462,4.554292904,7.856634227,16.5930279,32.6,7.1,23,87,16.47199016,31.52173913,553.6,29.78799535,7.258805764,1307,1732,452,3761,45,46,82.91250734,64.57313298,4.298494436,21.1,38,12.83555579,428,71.34727217,11.8,Yes,13.96114322,81,20.9,1307:01:00,1732:01:00,452:01:00,77.41668926,387.8842951,60.18304453,7.071911005,12.59241873,13.97225334,11.7,173.8,14.5,10.11931322,18.38195541,11.99706902,31.82297365,86.28464,6.888265919,2.806872079,51509,57.3493354,4.152831585,16.17284526,12.81920135,210.8276093,69.769043,12.76502838,21.77940976,19.72349991,1.139100659,51.05131016,32.85696977,0.442354409,60,0.039988039,39,0.139945728,53,0.30240868,68,-0.042272908,29,-0.035261274,29,0.042013091,46,0.07550913,73
