"","State","County","Presence.of.Water.Violation","Population","Deaths","Premature_Death_Rate","Self_Reported_Poor_health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","Low_Birthweight_percentage","Percentage_Smokers","Percentage_Adults_with_Obesity","Food.Environment.Index","Percentage_Physically_Inactive","Percentage__With.Access.to.Exercise.Opportunities","Percentage_Excessive.Drinking","Percentage_Driving.Deaths.with.Alcohol.Involvement","Chlamydia.Rate","Teen.Birth.Rate","Percentage_Uninsured","Primary.Care.Physicians.Ratio","Dentist.Ratio","Mental.Health.Provider.Ratio","Preventable.Hospitalization.Rate","Percentage_With.Annual.Mammogram","Percentage_Vaccinated","High.School.Graduation.Rate","Percentage_Some.College","Percentage_Unemployed","Percentage_Children.in.Poverty","Percentage_Single.Parent.Households","Social.Association.Rate","Violent.Crime.Rate","Injury.Death.Rate","Average.Daily.PM2.5","Percentage_.Severe.Housing.Problems","Percentage_.Drive.Alone.to.Work","Percentage_Long.Commute...Drives.Alone","Life.Expectancy","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Percentage_Frequent.Physical.Distress","Percentage_Frequent.Mental.Distress","Percentage_Adults.with.Diabetes","HIV.Prevalence.Rate","Percentage_Food.Insecure","Percentage_.Limited.Access.to.Healthy.Foods","Drug.Overdose.Mortality.Rate","Motor.Vehicle.Mortality.Rate","Percentage_Insufficient.Sleep","Other.Primary.Care.Provider.Rate","Percentage_Disconnected.Youth","Average.Grade.Performance","Median.Household.Income","Percentage_.Enrolled.in.Free.or.Reduced.Lunch","Homicide.Rate","Suicide.Rate..Age.Adjusted.","Firearm.Fatalities.Rate","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Percentage_Homeowners","Percentage_Housing.Cost.Burden","Percentage_less.than.18.years.of.age","Percentage_.65.and.over","Percentage_.Not.Proficient.in.English","Percentage_Female","Percentage_Rural","standardized_deaths"
"1","Michigan","Alcona","No",10364,224,9814,14.7496921,4.004213006,4.39002871,7.762557078,16.05008806,34.9,8,22,72,15.61886175,60,144.9,22.56699577,8.809160305,1725,10362,1727,2588,45,28,94.64285714,54.73393227,6.579634465,31.6,33,12.55917303,120,102.1824632,7.5,11.65829146,81,35.7,76.84512207,427.0644104,66.2031695142982,7.1221216307125,11.97694839,13.59979501,11.3,217.902222222222,12.6,4.264405957,22.0328776529143,16.8935218118511,31.33932406,57,11.0378275771963,2.575978578,39862,69.00826446,8.163662170125,40.02576782,21.20768104,12.14323674,87.81948882,10.73232323,12.7581548,35.8328508,0.199084213,49.5850222,98.92158655,2.591
"2","Michigan","Allegan","Yes",115250,1371,6181,14.21007546,3.89793332,4.242456848,6.552886641,16.27392233,33.5,8.9,20,68,19.11305652,28.76712329,358.1,21.3864591,5.458730681,4313,3259,1139,3553,43,43,87.04930096,57.59410081,3.266440656,13.6,24,10.39099333,246,63.34437533,11,12.10357525,86,33.9,79.13335459,317.957333,41.51980141,4.803675856,11.47178485,12.63643092,8.8,101.9,9.1,0.831520315,12.02329083,14.33264703,32.26522514,33,7.518796993,3.175243659,62247,44.60176053,1.744843986,14.19249887,9.69203557,132.9566012,82.31162791,8.909064776,24.1819871,16.54691589,0.739171462,50.04133746,64.46754273,1.53666666666667
"3","Michigan","Alpena","No",28612,443,7179,14.69437719,4.095082723,4.294293152,6.984298863,17.35694339,33.6,8.1,25,75,19.11571819,33.33333333,228.4,22.61624751,6.152068408,1355,1091,338,3818,44,45,79.88505747,67.1641791,5.082101196,22.6,35,14.05382615,304,83.03271768,7.5,12.07576953,85,12.9,77.99279088,367.941883,66.2031695142982,7.1221216307125,12.03219367,13.37768764,13.7,80.4,12.8,2.287227147,17.5385263,7.438926414,35.23521024,151,5.934718101,2.806013942,42792,54.70618825,8.163662170125,19.78131118,10.46630895,103.9384246,77.5261461,10.24973562,18.48025388,23.43794076,0.286364638,50.71932299,51.8278262,2.63098850574713
"4","Michigan","Antrim","No",23177,316,6080,14.00284834,3.984274936,4.322454297,6.142322097,16.38555404,31.9,8.5,29,67,18.10287745,29.41176471,227.5,20.50691244,8.12595825,1664,2921,2921,4161,41,43,92.65306122,58.52898898,5.61764415,18.7,30,10.30396703,118,77.43800657,7.4,13.82113821,76,35,80.48517433,293.0211493,66.2031695142982,7.1221216307125,11.69110144,13.17045362,7.4,69.4,11.6,0.059331966,22.0328776529143,17.79162935,31.24400392,47,8.190091001,2.911760653,56456,53.43605547,8.163662170125,19.84488957,16.34802361,48.49883717,86.07853136,11.48512755,18.14252087,27.14316285,0.545388984,50.28033383,100,0
"5","Michigan","Arenac","No",15165,276,8499,15.81122766,4.301253784,4.441567001,7.709750567,18.4857836,35.6,6.9,31,70,17.71740749,21.42857143,226,27.07516922,8.10255494,3009,2149,501,5876,50,39,90.13157895,50.28380634,7.114161366,24.1,35,7.976071785,256,89.68373295,8.3,11.81887951,84,36.7,76.70458487,409.41279,66.2031695142982,7.1221216307125,12.862456,14.01338374,16.4,217.902222222222,14.3,12.23759315,22.0328776529143,17.79259454,34.34410751,126,13.47962382,2.89247152815038,42540,59.81490502,8.163662170125,21.2634426,21.10205481,73.37881716,82.49551167,9.973590182,18.16368593,24.91190745,0.297063903,49.57782062,100,0.561666666666667
"6","Michigan","Baraga","No",8507,153,10471,16.12414483,4.210718716,4.408065341,6.822612086,19.33834262,35.9,7.4,24,26,19.25149302,75,154,23.3672858,8.009751001,938,1387,756,1394,43,28,86.66666667,39.31795386,6.108312343,21,37,9.477550053,333,87.07316499,6,13.68243243,83,19.4,75.41337909,452.7612802,66.2031695142982,7.1221216307125,12.64140724,13.66427668,18.5,107.3,14.9,5.426598185,22.0328776529143,16.8935218118511,38.22960308,108,11.0378275771963,2.89247152815038,43435,60.57312253,8.163662170125,21.70010626,14.642515601938,43.6400445,80.96179183,13.63166954,17.51201923,22.11538462,0.098461539,44.87980769,100,0
"7","Michigan","Barry","Yes",60057,762,6022,12.85412236,3.725795749,4.228558758,6.507243044,15.99710256,37.2,8.8,27,57,20.47006989,14.28571429,221.2,18.42936663,5.367312073,3029,3597,927,4701,46,45,86.96275072,57.30337079,3.407655382,10.8,26,10.56349652,171,66.65777896,11.2,11.4391951,85,46.5,79.45916674,320.3234789,27.98089837,7.1221216307125,10.77475199,12.51383995,17.1,43.6,9.5,1.016486553,12.67601753,16.741325,37.56005046,70,8.564890487,3.288544217,64121,42.27089337,2.630779644,17.57123115,12.664978,7.709837652,82.31543624,8.811448831,22.09722518,18.40181827,0.334707395,49.66397959,77.12808206,1.2511875
"8","Michigan","Bay","No",104786,1579,7743,14.50455264,4.046153884,4.159750802,7.291231005,17.79181258,35.9,7.7,26,86,19.78233032,35.29411765,391.4,21.46294514,6.104808863,2424,1464,401,6890,46,49,87.92599805,66.29673134,4.786304417,24.8,40,10.26487207,328,74.70266624,9.5,12.52430516,86,24,77.49196102,387.1384399,43.12354312,4.748982361,11.8111692,13.13142939,8.9,92.7,12.4,7.743706309,25.88612025,10.42634263,36.19722609,76,9.275783358,2.89247152815038,50576,53.19559623,2.301919801,18.05557455,11.81521762,291.1147982,77.69930054,10.867983,20.28809792,20.39490777,0.291150043,50.85977118,30.31149382,4.91184375
"9","Michigan","Benzie","No",17552,227,6655,13.03789421,3.71127111,4.133609648,6.128133705,15.68194619,36.5,7.32739726027397,30,89,19.37272194,33.33333333,369.9,21.59161012,7.398549607,1953,2219,772,3799,45,52,83.13253012,68.7846109,5.50625711,15.7,28,13.0882604,126,72.83155427,7.5,13.45885635,79,35.1,80.46584073,295.7974329,66.2031695142982,7.1221216307125,10.87111222,12.60360166,13.6,32.7,10.5,7.66933066311644,20.79473704,17.10557397,32.0102583,95,11.0378275771963,2.89247152815038,51905,56.18672666,8.163662170125,16.8593408920752,14.642515601938,42.42668712,89.6628546,11.02134146,18.2448037,26.1307948,0.27515253,50.35205317,100,0
"10","Michigan","Berrien","Yes",154807,2254,8081,16.08037215,4.287990462,4.554292904,7.856634227,16.5930279,32.6,7.1,23,87,16.47199016,31.52173913,553.6,29.78799535,7.258805764,1307,1732,452,3761,45,46,82.91250734,64.57313298,4.298494436,21.1,38,12.83555579,428,71.34727217,11.8,13.96114322,81,20.9,77.41668926,387.8842951,60.18304453,7.071911005,12.59241873,13.97225334,11.7,173.8,14.5,10.11931322,18.38195541,11.99706902,31.82297365,86,6.888265919,2.806872079,51509,57.3493354,4.152831585,16.17284526,12.81920135,210.8276093,69.769043,12.76502838,21.77940976,19.72349991,1.139100659,51.05131016,32.85696977,8.71036828644501
"11","Michigan","Branch","Yes",43584,642,8566,15.08966314,4.127669085,4.291774557,6.583242655,18.40061945,38,8.3,30,62,19.20905381,31.03448276,285.6,30.9587217,8.1180703,2171,1897,661,5272,43,45,80.71278826,51.74100157,3.66580113,21.2,29,10.59663672,277,77.18176305,11.8,12.37593052,83,25.7,76.68730917,401.7135044,78.19945749,8.152937869,12.41974618,13.333365,10.2,58,12.1,1.448106118,18.39658437,14.74515458,37.75487449,59,13.43820225,2.89247152815038,50477,58.21927888,8.163662170125,18.27399249,8.728889869,139.1779002,74.57894099,8.923521649,23.17867131,18.1834854,1.487615418,48.45490807,62.7033239,1.10339240506329
"12","Michigan","Calhoun","No",134473,2139,9414,16.18879355,4.161187453,4.54342686,8.459452366,18.79289397,33.8,7.3,27,77,17.99378166,36.36363636,708.3,32.20993221,5.626721827,1677,1416,311,4168,49,50,88.13033359,59.1141929,4.209019327,27.6,42,11.63068114,644,94.91321689,11.5,14.50367301,83,22.5,75.96794176,450.5331605,62.10979722,6.486676017,12.63772826,13.90439946,13.8,148.9,14.2,8.245614087,35.9800596,12.20412945,35.47858379,126,6.095318908,2.666473631,48413,58.47872966,5.200020376,19.51819256,14.13284578,215.9081476,69.47576362,13.11685089,22.90258538,17.83592466,1.058809533,51.06069732,30.97703936,8.79246538461538
"13","Michigan","Cass","Yes",51460,738,7669,14.5011429,3.785538655,4.084018365,7.877585718,16.49171852,39.8,8.3,30,62,19.4645941,29.09090909,288,26.77633882,7.221533118,5138,3228,906,3674,43,48,89.9103139,62.38227147,4.06924276,17.3,33,8.3688523,223,66.69303368,12.9,12.91676957,82,36.2,78.16388866,350.8399869,72.02100225,8.335728658,11.27705519,12.65879785,18.7,43.3,11.6,2.696002716,12.93384983,14.91506698,33.60798942,29,8.694057227,2.864492035,55978,55.63292021,8.163662170125,18.52457634,13.18350666,11.43473266,80.47950132,9.259725228,20.61061313,21.02878826,0.257631832,49.82092037,71.18161131,2.51024390243902
