"","State","County","Presence.of.Water.Violation","standardized_deaths","Percentage_Adults_with_Obesity","Percentage_Physically_Inactive","Percentage__With.Access.to.Exercise.Opportunities","Percentage_Excessive.Drinking","Percentage_Driving.Deaths.with.Alcohol.Involvement","Percentage_Uninsured","Primary.Care.Physicians.Ratio","Dentist.Ratio","Mental.Health.Provider.Ratio","Preventable.Hospitalization.Rate","Percentage_Vaccinated","High.School.Graduation.Rate","Social.Association.Rate","Violent.Crime.Rate","Injury.Death.Rate","Average.Daily.PM2.5","Percentage_.Drive.Alone.to.Work","Percentage_Long.Commute...Drives.Alone","Infant.Mortality.Rate","Percentage_Adults.with.Diabetes","HIV.Prevalence.Rate","Drug.Overdose.Mortality.Rate","Percentage_Insufficient.Sleep","Other.Primary.Care.Provider.Rate","Percentage_Disconnected.Youth","Average.Grade.Performance","Percentage_.Enrolled.in.Free.or.Reduced.Lunch","Suicide.Rate..Age.Adjusted.","Percentage_.Not.Proficient.in.English","Percentage_Female"
"1","Michigan","Alcona","No",2.591,34.9,22,72,15.61886175,60,8.809160305,1725,10362,1727,2588,28,94.64285714,12.55917303,120,102.1824632,7.5,81,35.7,7.1221216307125,11.3,217.902222222222,22.0328776529143,31.33932406,57,11.0378275771963,2.575978578,69.00826446,40.02576782,0.199084213,49.5850222
"2","Michigan","Allegan","Yes",1.53666666666667,33.5,20,68,19.11305652,28.76712329,5.458730681,4313,3259,1139,3553,43,87.04930096,10.39099333,246,63.34437533,11,86,33.9,4.803675856,8.8,101.9,12.02329083,32.26522514,33,7.518796993,3.175243659,44.60176053,14.19249887,0.739171462,50.04133746
"3","Michigan","Alpena","No",2.63098850574713,33.6,25,75,19.11571819,33.33333333,6.152068408,1355,1091,338,3818,45,79.88505747,14.05382615,304,83.03271768,7.5,85,12.9,7.1221216307125,13.7,80.4,17.5385263,35.23521024,151,5.934718101,2.806013942,54.70618825,19.78131118,0.286364638,50.71932299
"4","Michigan","Antrim","No",0,31.9,29,67,18.10287745,29.41176471,8.12595825,1664,2921,2921,4161,43,92.65306122,10.30396703,118,77.43800657,7.4,76,35,7.1221216307125,7.4,69.4,22.0328776529143,31.24400392,47,8.190091001,2.911760653,53.43605547,19.84488957,0.545388984,50.28033383
"5","Michigan","Arenac","No",0.561666666666667,35.6,31,70,17.71740749,21.42857143,8.10255494,3009,2149,501,5876,39,90.13157895,7.976071785,256,89.68373295,8.3,84,36.7,7.1221216307125,16.4,217.902222222222,22.0328776529143,34.34410751,126,13.47962382,2.89247152815038,59.81490502,21.2634426,0.297063903,49.57782062
"6","Michigan","Baraga","No",0,35.9,24,26,19.25149302,75,8.009751001,938,1387,756,1394,28,86.66666667,9.477550053,333,87.07316499,6,83,19.4,7.1221216307125,18.5,107.3,22.0328776529143,38.22960308,108,11.0378275771963,2.89247152815038,60.57312253,21.70010626,0.098461539,44.87980769
"7","Michigan","Barry","Yes",1.2511875,37.2,27,57,20.47006989,14.28571429,5.367312073,3029,3597,927,4701,45,86.96275072,10.56349652,171,66.65777896,11.2,85,46.5,7.1221216307125,17.1,43.6,12.67601753,37.56005046,70,8.564890487,3.288544217,42.27089337,17.57123115,0.334707395,49.66397959
"8","Michigan","Bay","No",4.91184375,35.9,26,86,19.78233032,35.29411765,6.104808863,2424,1464,401,6890,49,87.92599805,10.26487207,328,74.70266624,9.5,86,24,4.748982361,8.9,92.7,25.88612025,36.19722609,76,9.275783358,2.89247152815038,53.19559623,18.05557455,0.291150043,50.85977118
"9","Michigan","Benzie","No",0,36.5,30,89,19.37272194,33.33333333,7.398549607,1953,2219,772,3799,52,83.13253012,13.0882604,126,72.83155427,7.5,79,35.1,7.1221216307125,13.6,32.7,20.79473704,32.0102583,95,11.0378275771963,2.89247152815038,56.18672666,16.8593408920752,0.27515253,50.35205317
"10","Michigan","Berrien","Yes",8.71036828644501,32.6,23,87,16.47199016,31.52173913,7.258805764,1307,1732,452,3761,46,82.91250734,12.83555579,428,71.34727217,11.8,81,20.9,7.071911005,11.7,173.8,18.38195541,31.82297365,86,6.888265919,2.806872079,57.3493354,16.17284526,1.139100659,51.05131016
